#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
512	0.004787118	0.01395195	0.003850649	0.01772151
1024	0.01209347	0.05456041	0.0109386	0.06696097
2048	0.03931861	0.2138484	0.03754451	0.3048807
4096	0.1447787	0.8449217	0.1430974	1.20767
8192	0.5616723	3.273305	0.5596425	4.732669
