#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
31	0.0004991234	0.0002461886	0.0002893618	0.0003279359
61	0.0006584766	0.001586543	0.0005706764	0.002261808
127	0.0008660187	0.01320265	0.0006033731	0.03867182
257	0.001857392	0.1924717	0.002813321	0.3227069
509	0.008275072	1.479545	0.006723571	2.460002
