#n_points	openacc_r	openacc_c
210	2.12E-05	8.58E-06
1260	3.48E-05	3.65E-05
4410	0.0001001909	0.0001288683
15750	0.000308354	0.0004262639
66150	0.001097884	0.001950125
257250	0.004433757	0.008745376
1080450	0.0184521	0.03832563
4321800	0.08625754	0.1759682
15435000	0.2943524	0.6136453
64827000	1.21259	
