#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
509	0.006051123	0.01882555	0.004988219	0.02311182
1021	0.0132493	0.06334953	0.01189735	0.07863052
2027	0.03985433	0.2457843	0.03815506	0.3346194
4049	0.1431262	0.9076494	0.1424383	1.264053
