#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
504	0.08853041	0.00197821	0.1165347	0.00292859
1029	0.09103548	0.007235892	0.1083973	0.01070328
2058	0.08695118	0.03547144	0.110224	0.05667965
4116	0.0868586	0.1427432	0.1118371	0.223874
8232	0.08969675	0.5595176	0.1143504	0.8981167
