#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
504	0.0005326123	0.001383344	0.0005055704	0.002511885
1029	0.000700661	0.005707164	0.0005429878	0.009751892
2058	0.0006433703	0.04214773	0.0007146789	0.07847775
4116	0.0008820328	0.1679082	0.001165102	0.3118396
8232	0.001934396	0.6659052	0.002897279	1.241006
