#n_points	openacc_r	openacc_c
257	2.06E-05	9.98E-06
1021	3.46E-05	3.24E-05
4093	8.85E-05	0.0001115223
16381	0.0002805468	0.0004528157
65521	0.001116743	0.001930119
262139	0.00451288	0.008642139
1048573	0.01795091	0.0357867
4194301	0.08017609	0.167777
16777213	0.3161118	0.66738
