#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
512	0.07947511	0.001990159	0.10377941	0.003265208
1024	0.08707697	0.007184985	0.1051421	0.0105818
2048	0.086548	0.03539026	0.1102979	0.05728049
4096	0.08225504	0.1391422	0.10262148	0.2206666
8192	0.08194709	0.5512881	0.1055775	0.8819777
