#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
504	0.004818472	0.01421099	0.003830351	0.01767236
1029	0.01201593	0.06228971	0.01100353	0.07763318
2058	0.0395007	0.238292	0.03813897	0.3306224
4116	0.1469944	0.8656913	0.1447342	1.235087
8232	0.5652771	3.340583	0.5627408	4.8116
