#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
30	0.09863106	0.0003143073	0.1091421	0.0004347316
70	0.1090507	0.002740161	0.1220003	0.003898172
105	0.1057133	0.008438755	0.1124734	0.0124978
210	0.10013483	0.08014659	0.1094801	0.1249988
420	0.1054679	0.6442939	0.1156638	1.0018964
