#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
256	0.001569459	0.0001272645	0.001258152	9.51E-05
1024	0.001664373	0.0002089693	0.001262667	0.0001820806
4096	0.001643069	0.0005107586	0.001275281	0.0005183948
16384	0.002038553	0.00172225	0.001505057	0.001878921
65536	0.002651087	0.006573761	0.001819966	0.007316529
262144	0.004675831	0.02500573	0.003851824	0.02857433
1048576	0.01149393	0.1043088	0.01096288	0.1140919
4194304	0.03869692	0.4149983	0.03794302	0.4900483
16777216	0.1436905	1.651057	0.1457644	1.950392
