#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
509	0.05928294	0.001876049	0.06517839	0.002831819
1021	0.06395366	0.006661008	0.06752478	0.009650293
2027	0.06110927	0.03251413	0.07307552	0.05150386
4049	0.05945602	0.1273743	0.06339273	0.2043279
8123	0.05874373	0.5107711	0.07047558	0.8195113
