#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
31	0.002991179	0.00187594	0.001392105	0.002536691
61	0.004054174	0.01381626	0.003701301	0.01974328
127	0.01262848	0.1249172	0.01966761	0.1780816
257	0.08346428	1.027437	0.1507904	1.464487
