#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
32	0.002300435	0.002074009	0.001662439	0.002852004
64	0.003784097	0.01537853	0.004152019	0.02278708
128	0.01215666	0.1263786	0.01967922	0.1810485
256	0.07509095	0.9999859	0.1412857	1.439719
512	0.5640159	7.979319		
