#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
509	0.0010068518	0.00164537	0.00159192	0.002919473
1021	0.0007917736	0.00620792	0.001780683	0.009798068
2027	0.001020525	0.04518737	0.001871907	0.07571711
4049	0.001875381	0.1863204	0.002051355	0.3238449
8123	0.004642155	0.7207489	0.005424914	1.272669
