#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
31	0.05965885	0.0004575898	0.06222867	0.0005300828
61	0.06074966	0.00180853	0.06254879	0.00247522
127	0.06936742	0.01795553	0.06954174	0.02032166
257	0.06438058	0.1418973	0.06438879	0.2220976
509	0.06176268	1.084012	0.05982813	1.690161
