#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
30	0.002242883	0.001710625	0.0013806	0.002405893
70	0.004523463	0.02090412	0.004748405	0.02970786
105	0.008146585	0.07000479	0.01177591	0.09837262
210	0.04360713	0.5544045	0.0800026	0.7981062
420	0.3170828	4.408103	0.7061994	6.35346
