#n_points	opencl_r_init	opencl_r_exec	opencl_c_init	opencl_c_exec
32	0.09594361	0.0003539761	0.1047003	0.0005067789
64	0.0973223	0.002125713	0.1080251	0.002982716
128	0.10376849	0.0185281	0.1125758	0.02841551
256	0.0959268	0.1435361	0.1031189	0.2266553
512	0.09914822	1.152529	0.1070483	1.82759
