#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
30	0.0003111848	0.0002020384	0.0002962426	0.0002986013
70	0.0005005206	0.001969972	0.0004965614	0.003221834
105	0.0005719449	0.006487959	0.0005605601	0.01105723
210	0.0007715894	0.09435906	0.0009179258	0.1719744
420	0.001863828	0.7490695	0.003076559	1.368426
