#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
32	0.0002807433	0.000236522	0.0002825527	0.0003605798
64	0.0004980121	0.001564311	0.0004791759	0.002574842
128	0.0005399439	0.01149722	0.0006115655	0.03912459
256	0.0008910476	0.1712311	0.001404717	0.3115464
512	0.002841114	1.357246	0.005096122	2.480816
