#n_points	openacc_r_init	openacc_r_exec	openacc_c_init	openacc_c_exec
257	0.002573534	0.000126735	0.001783839	0.0001003535
1021	0.002136354	0.0002066498	0.001815636	0.0001823933
4093	0.001876885	0.0005115529	0.001347393	0.0005404209
16381	0.002153724	0.001685583	0.001449467	0.001876291
65521	0.00395404	0.006341482	0.002152588	0.00733655
262139	0.006338417	0.02521296	0.004482225	0.02851099
1048573	0.01600827	0.102668	0.01220973	0.1167091
4194301	0.05289682	0.4153481	0.04311107	0.4908622
16777213	0.185721	1.653112	0.1636903	1.955366
