#n_points	cuda_r_init	cuda_r_exec	cuda_c_init	cuda_c_exec
512	0.0005121035	0.001455133	0.0004737659	0.002508109
1024	0.0005390795	0.0055068	0.0005449886	0.009828499
2048	0.000619595	0.04138521	0.0006911638	0.0767368
4096	0.0008683178	0.1646336	0.001125501	0.3063584
8192	0.001839222	0.6556678	0.002813802	1.220454
