#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
30	0.00012	0.0005948574 0.000025    	0.0009597769	0.0007564483	0.000469909	1.86E-05	0.0004767861
70	0.00012	0.008117431	 0.000032    	0.01354362	0.0101913	0.005221698	6.08E-05	0.005714862
105	0.00012	0.03323499	 0.000048    	0.06476331	0.03996918	0.02334822	5.97E-05	0.02036458
210	0.00022	0.2967436	 0.000052    	0.5352969	0.3543438	0.1643645	9.07E-05	0.2478932
420	0.00063	2.48917	     0.000068	    4.972658	2.905992	1.433969	8.63E-05	2.26492
