#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
509		0.0006000965	0.0224322	0.0003992411	0.02983479	0.00016457735	0.009240376	0.0001390361	0.01020602
1021		0.0009419844	0.09133502	0.000483908	0.1401824	0.0003249423	0.04295485	0.0002530966	0.05082105
2027		0.0008933988	0.4345748	0.0007526455	0.5870172	0.00058496325	0.18594055	0.0003519867	0.2473262
4049		0.001228337	2.06813		0.001144494	2.780343	0.001159397	0.91066975	0.00097689	1.208828
8123		0.001686829	9.150012	0.001629854	14.13337	0.002298311	3.9735115	0.00164051	5.303116
