#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
31	0.000068	0.001090203	0.00012	0.00175053	0.001266183	0.0009916621	2.21E-05	0.001208393
61	0.00011	    0.01553256	0.00016	0.0305498	0.01675374	0.01362834	4.90E-05	0.01422051
127	0.00021	    0.1715815	0.00016	0.2915173	0.184219	0.07554436	0.0001272335	0.09624357
257	0.00049	    1.654288	0.00028	    2.62753	1.732249	0.8788389	0.0001988173	1.276813
509	0.00089	    15.94955	0.00042	22.78063	16.55796	6.160993	0.0002632301	8.802982
