#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec	gsl_r_init	gsl_r_exec	gsl_c_init	gsl_c_exec	fftpack_r_init	fftpack_r_exec	fftpack_c_init	fftpack_c_exec
257	0.0005214	1.71E-05	0.0001967	1.77E-05	0.0176705	7.76E-05	0.0001084	1.40E-05	0.0005247	0.0001643	1.21E-05	1.31E-05	0.0008704	0.000125	7.58E-05	1.41E-05
1021	0.0011283	6.46E-05	0.0001881	6.92E-05	0.017964	9.73E-05	0.0002516	9.36E-05	0.0005707	0.0018289	4.07E-05	6.37E-05	0.0009772	0.0009691	0.0001156	0.0001207
4093	0.004697	0.0003555	0.0004838	0.00036	0.0181524	0.0003235	0.0008866	0.0004105	0.0019199	0.0282135	0.0001615	0.0004168	0.0009035	0.0141521	0.0002028	0.0004791
16381	0.0023889	0.0010391	0.0018268	0.0022975	0.0199248	0.0011388	0.0018234	0.0021962	0.0005818	0.4462694	0.0006514	0.0023678	0.0049999	0.2193666	0.0005734	0.0025295
65521	0.0240127	0.0089256	0.0082207	0.0099034	0.0317529	0.0042956	0.0071861	0.0093167	0.0071141	7.049837	0.0022998	0.0092165	0.0138093	3.4819931	0.0020106	0.0091792
262139	0.0480552	0.0457053	0.0299055	0.0414039	0.0487607	0.0176878	0.0255269	0.0393856	0.0022271	112.8075465	0.009131	0.0402649	0.0325515	56.2631372	0.0089783	0.0403673
1048573	0.275953	0.246339	0.1466975	0.244747	0.146533	0.2356471	0.123023	0.0784248	0.006748	1805.170808	0.0422265	0.2350025	0.028417	897.367659	0.035327	0.235439
