#n_processes	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec
1	0.007033624	0.4987766	0.005409957	1.702041
2	0.003795412	0.3020964	0.006939232	0.7578965
4	0.00403581	0.2014145	0.007385437	0.4320992
6	0.003912553	0.1260579	0.002458513	0.2721609
12	0.003807753	0.1032222	0.001913572	0.1978226
24	0.004764617	0.04840795	0.005954146	0.09835306
48	0.004684989	0.02357619	0.006329575	0.05782566
96	0.007120532	0.02351	0.006875767	0.04311076
