#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
504	0.0002732096	0.005575818	0.0003444218	0.00968755	0.0001308614	0.003564792	8.60E-05	0.003827877
1029	0.00032	0.03063086	0.0003351174	0.05865279	0.00013449205	0.021582405	0.0001237666	0.02192253
2058	0.0003610772	0.1327911	0.0004055405	0.2815426	0.00029426765	0.07867969	0.0001261804	0.1146331
4116	0.0004712703	0.6876203	0.0006071659	1.221009	0.0002911462	0.33209635	0.0001433585	0.4958362
8232	0.0004480748	2.969889	0.0005802308	7.562053	0.0005210534	1.4214285	0.0002071266	2.146059
