#n_processes	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
1	7.41865E-05	0.4307507	0.6124946	0.8364254
2	0.000114811	0.4316742	0.6128545	0.9908438
4	0.0001033232	0.4315134	0.6124276	0.7195962
6	9.86246E-05	0.4315015	0.6127652	0.6241985
12	0.0001048247	0.4325736	0.6128595	0.5285293
24	0.0001096799	0.4337094	0.6128389	0.5201909
48	0.0001569963	0.4332485	0.3080538	0.532761
96	9.1038E-05	0.4355619	0.1556539	0.1395418
