#n_processes	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
1	0.0002580414	0.2478187	0.0001485456	1.00173
2	0.0002745569	0.262085	0.0001456936	1.27669
4	0.0002884416	0.1843035	0.000145738	0.9886324
6	0.0002792043	0.1526511	0.0001534144	0.8917706
12	0.0003056254	0.1288163	0.0001850627	0.7949442
24	0.0002998689	0.1171214	0.0002351691	0.764364
48	0.0002659037	0.1264044		
96	0.0003311226	0.074612528571429		
