#n_points	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
512	0.0002770665	0.00514767	0.0003117479	0.01349408	0.00013188635	0.00360935	8.13E-05	0.003727615
1024	0.0002881851	0.02604325	0.0003213942	0.06715603	0.00020772805	0.015674135	0.0001132719	0.01999521
2048	0.0002685569	0.1245184	0.0003329903	0.5671096	0.0003467516	0.081798355	0.0001708682	0.1450172
4096	0.0003130206	0.7145257	0.0003963285	3.152724	0.0004189244	0.3114046	0.0001831099	0.4974753
8192	0.0003869115	2.799041	0.0004788825	13.10554	0.0005991282	1.327714	0.000270788	2.469323
