#n_processes	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
1	5.31698E-05	0.2221083	6.47628E-05	0.8498543
4	9.15922E-05	0.09708467	7.59696E-05	0.2416842
6	0.0001002912	0.07278506	6.26608E-05	0.1766227
12	8.63983E-05	0.05129096	0.0001157728	0.1281189
24	5.82886E-05	0.02934711	0.000134997	0.07818506
