#n_processes	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
1	0.0002574798	0.2471139	0.0001634794	0.993375
6	0.0004225831	0.07862114	0.0001833034	0.1966927
8	0.0004582372	0.06803702		
12	0.0005127038	0.05652139	0.0001728381	0.1443801
16	0.0005170536	0.04798909		
24	0.0004874081	0.03347422	1.59E-04	7.19E-02
48	0.0005980372	0.02079736	0.0001864083	0.05217808
