#n_processes	mkl_r_init	mkl_r_exec	mkl_c_init	mkl_c_exec
2	9.43311E-05	0.4440123	0.3034806	0.452945
4	0.0001037239	0.4805021	0.1638457	0.2799799
6	0.0001118412	0.5215894	0.1477626	0.3360249
12	0.0001286507	0.7114818	0.11163644	0.3062528
24	0.0001088459	0.699322	0.1335034	0.3633399
48	0.0001229677	0.6996791	0.10281508	0.3104428
96	0.0001184729	0.7033897	0.0925365	0.2865146
