#n_processes	fftw_c_init	fftw_c_exec
1	0.06105781	0.9463119
2	0.1338405	0.6735203
4	0.07816483	0.3379119
6	0.009962344	0.3345355
12	0.00580055	0.2358741
24	0.02253379	0.1201502
48	0.02801598	0.12569171
96	0.02301922	0.08523825
