#n_processes	fftw_r_init	fftw_r_exec	fftw_c_init	fftw_c_exec
1	0.002926034	0.3836549	0.002957227	1.767079
2	0.003872016	0.2533101	0.004296073	0.6402377
4	0.004376185	0.142419	0.004394529	0.3323399
6	0.002267588	0.1323515	0.003076336	0.2640876
12	0.002213786	0.08462185	0.002087749	0.1856271
24	0.002842044	0.04928527	0.00497193	0.08671027
48	0.004832565	0.04108716	0.008087616	0.08432734
